neg,neu,pos,compound
0.233,0.713,0.054,-0.7579
0.034,0.884,0.082,0.7346
0.051,0.79,0.159,0.9173
0.063,0.893,0.043,-0.7745
0.041,0.784,0.175,0.8856
0.094,0.804,0.102,0.128
0.031,0.661,0.307,0.9564
0.022,0.79,0.188,0.993
0.023,0.81,0.167,0.9933
0.0,0.625,0.375,0.9371
0.094,0.819,0.087,-0.098
0.198,0.587,0.215,0.3774
0.091,0.856,0.053,-0.2374
0.018,0.82,0.161,0.7962
0.0,0.855,0.145,0.4404
0.012,0.842,0.146,0.9131
0.078,0.895,0.027,-0.891
0.076,0.924,0.0,-0.6808
0.043,0.882,0.075,0.8351
0.109,0.777,0.114,0.3597
0.019,0.725,0.256,0.9612
0.047,0.91,0.043,-0.1306
0.068,0.823,0.109,0.7121
0.149,0.823,0.028,-0.9845
0.097,0.813,0.09,-0.0742
0.054,0.872,0.074,0.3118
0.109,0.881,0.01,-0.9943
0.125,0.788,0.087,-0.7
0.016,0.866,0.118,0.8074
0.069,0.76,0.171,0.9574
0.106,0.753,0.142,0.6165
0.105,0.828,0.067,-0.9118
0.132,0.785,0.083,-0.825
0.073,0.879,0.048,-0.5037
0.139,0.835,0.026,-0.9965
0.0,0.692,0.308,0.8934
0.114,0.729,0.157,0.9251
0.11,0.838,0.051,-0.876
0.084,0.844,0.071,-0.2899
0.168,0.774,0.058,-0.936
0.011,0.897,0.093,0.9873
0.064,0.92,0.016,-0.8151
0.146,0.778,0.076,-0.9703
0.194,0.743,0.063,-0.9281
0.0,0.737,0.263,0.9507
0.175,0.743,0.082,-0.5984
0.021,0.829,0.15,0.9867
0.077,0.851,0.072,0.2669
0.282,0.718,0.0,-0.8999
0.056,0.944,0.0,-0.5423
0.134,0.816,0.05,-0.9202
0.024,0.748,0.228,0.9578
0.094,0.838,0.068,-0.4576
0.0,0.739,0.261,0.9799
0.056,0.817,0.127,0.8603
0.0,1.0,0.0,0.0
0.058,0.845,0.097,0.742
0.115,0.856,0.029,-0.9462
0.081,0.862,0.057,-0.7687
0.197,0.696,0.108,-0.5253
0.09,0.86,0.05,-0.659
0.062,0.854,0.084,0.4215
0.069,0.896,0.035,-0.4939
0.082,0.818,0.1,0.318
0.113,0.838,0.049,-0.7579
0.075,0.815,0.11,0.8651
0.054,0.749,0.196,0.9405
0.068,0.661,0.271,0.9266
0.08,0.766,0.154,0.9815
0.092,0.73,0.178,0.6065
0.118,0.864,0.018,-0.8776
0.042,0.828,0.13,0.9695
0.131,0.841,0.029,-0.9938
0.045,0.863,0.092,0.7046
0.037,0.804,0.159,0.962
0.085,0.79,0.125,0.8534
0.06,0.667,0.272,0.9389
0.024,0.893,0.083,0.659
0.056,0.708,0.235,0.8225
0.109,0.741,0.151,0.4019
0.027,0.779,0.194,0.9918
0.127,0.808,0.066,-0.722
0.085,0.809,0.106,0.3818
0.075,0.831,0.094,0.742
0.0,0.868,0.132,0.9464
0.103,0.859,0.037,-0.9468
0.071,0.558,0.371,0.966
0.074,0.795,0.131,0.7973
0.103,0.769,0.127,0.2718
0.0,0.638,0.362,0.8847
0.243,0.757,0.0,-0.9246
0.229,0.716,0.055,-0.8176
0.167,0.77,0.063,-0.799
0.051,0.745,0.204,0.9724
0.033,0.932,0.035,0.0772
0.076,0.924,0.0,-0.7269
0.032,0.925,0.043,0.4966
0.0,0.711,0.289,0.986
